ko	KOname
K06642	PRKDC; DNA-dependent protein kinase catalytic subunit
K06643	MDM2; E3 ubiquitin-protein ligase Mdm2
K04402	GADD45; growth arrest and DNA-damage-inducible protein
K04802	PCNA; proliferating cell nuclear antigen
K06644	SFN; stratifin
K06645	CDC25A; M-phase inducer phosphatase 1
K02603	ORC1; origin recognition complex subunit 1
K02604	ORC2; origin recognition complex subunit 2
K02605	ORC3; origin recognition complex subunit 3
K02606	ORC4; origin recognition complex subunit 4
K02607	ORC5; origin recognition complex subunit 5
K02608	ORC6; origin recognition complex subunit 6
K02540	MCM2; DNA replication licensing factor MCM2
K02541	MCM3; DNA replication licensing factor MCM3
K02212	MCM4, CDC54; DNA replication licensing factor MCM4
K02209	MCM5, CDC46; DNA replication licensing factor MCM5
K02542	MCM6; DNA replication licensing factor MCM6
K02210	MCM7, CDC47; DNA replication licensing factor MCM7
K06646	CLN3; G1/S-specific cyclin CLN3
K04563	CDC28, CDC2; cyclin-dependent kinase
K06649	SWI4; regulatory protein SWI4
K06648	SWI6; regulatory protein SWI6
K12760	CLN1; G1/S-specific cyclin CLN1
K06650	CLN2; G1/S-specific cyclin CLN2
K03085	SIC1; substrate and inhibitor of the cyclin-dependent protein kinase CDC28
K06647	MBP1; transcription factor MBP1
K06651	CLB5_6; S-phase entry cyclin 5/6
K02213	CDC6; cell division control protein 6
K02603	ORC1; origin recognition complex subunit 1
K02604	ORC2; origin recognition complex subunit 2
K02605	ORC3; origin recognition complex subunit 3
K02606	ORC4; origin recognition complex subunit 4
K02607	ORC5; origin recognition complex subunit 5
K02608	ORC6; origin recognition complex subunit 6
K02540	MCM2; DNA replication licensing factor MCM2
K02541	MCM3; DNA replication licensing factor MCM3
K02212	MCM4, CDC54; DNA replication licensing factor MCM4
K02209	MCM5, CDC46; DNA replication licensing factor MCM5
K02542	MCM6; DNA replication licensing factor MCM6
K02210	MCM7, CDC47; DNA replication licensing factor MCM7
K12414	TAH11; DNA replication licensing factor, required for pre-replication complex assembly
K02214	CDC7; cell division control protein 7
K02309	DBF4; regulatory subunit for Cdc7p protein kinase
K06628	CDC45; cell division control protein 45
K12412	MCM1; pheromone receptor transcription factor
K12411	YOX1, YHP1; homeobox protein YOX1/YHP1
K12413	WHI5; G1-specific transcriptional repressor WHI5
K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3
K06652	FAR1; cyclin-dependent kinase inhibitor FAR1
K03348	APC1; anaphase-promoting complex subunit 1
K03349	APC2; anaphase-promoting complex subunit 2
K03350	APC3, CDC27; anaphase-promoting complex subunit 3
K03351	APC4; anaphase-promoting complex subunit 4
K03352	APC5; anaphase-promoting complex subunit 5
K03353	APC6, CDC16; anaphase-promoting complex subunit 6
K03354	APC7; anaphase-promoting complex subunit 7
K03355	APC8, CDC23; anaphase-promoting complex subunit 8
K03356	APC9; anaphase-promoting complex subunit 9
K03357	APC10, DOC1; anaphase-promoting complex subunit 10
K03358	APC11; anaphase-promoting complex subunit 11
K03359	APC12, CDC26; anaphase-promoting complex subunit 12
K12416	SWM1, APC13; anaphase-promoting complex subunit SWM1
K03363	CDC20; cell division cycle 20, cofactor of APC complex
K03094	SKP1, CBF3D; S-phase kinase-associated protein 1
K03347	CUL1, CDC53; cullin 1
K03868	RBX1, ROC1; E3 ubiquitin-protein ligase RBX1
K03360	GRR1; F-box and leucine-rich repeat protein GRR1
K03361	CDC4; F-box and WD-40 domain protein CDC4
K06656	PCL1; PHO85 cyclin-1
K06657	PCL2_9; PHO85 cyclin-2/9
K06655	PHO85; negative regulator of the PHO system
K06653	PHO81; CDK inhibitor PHO81
K06654	PHO80; phosphate system cyclin PHO80
K06658	PHO4; phosphate system positive regulatory protein PHO4
K02646	PHO2; regulatory protein PHO2
K23458	PHO5_11_12; repressible acid phosphatase
K06659	CLB3_4; G2/mitotic-specific cyclin 3/4
K08866	TTK, MPS1; serine/threonine-protein kinase TTK/MPS1
K06679	MAD1; mitotic spindle assembly checkpoint protein MAD1
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2
K06680	MAD3; spindle assembly checkpoint component MAD3
K02178	BUB1; checkpoint serine/threonine-protein kinase
K02180	BUB3; cell cycle arrest protein BUB3
K02307	DAM1; DASH complex subunit DAM1
K02216	CHEK1; serine/threonine-protein kinase CHEK1
K02627	PDS1; cell cycle regulator
K02365	ESP1; separase
K12575	SLK19; kinetochore protein SLK19
K04354	PPP2R2; serine/threonine-protein phosphatase 2A regulatory subunit B
K04382	PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit
K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A
K12576	SPO12; sporulation-specific protein 12
K12577	FOB1; DNA replication fork-blocking protein FOB1
K06687	NET1, ESC5; nucleolar protein involved in exit from mitosis
K06660	CDC5; cell cycle serine/threonine-protein kinase CDC5/MSD2
K02181	BFA1; cell cycle arrest protein BFA1
K02179	BUB2; cell cycle arrest protein BUB2
K06681	LTE1; Gdp/GTP exchange factor required for growth at low temperatures
K06682	TEM1; Gtp-binding protein of the ras superfamily involved in termination of M-phase
K06683	CDC15; cell division control protein CDC15
K06684	DBF2; cell cycle protein kinase DBF2
K06686	DBF20; cell cycle protein kinase DBF20
K06685	MOB1, Mats; MOB kinase activator 1
K06639	CDC14; cell division cycle 14
K09202	SWI5; regulatory protein SWI5
K03364	CDH1; cell division cycle 20-like protein 1, cofactor of APC complex
K02220	CLB1; G2/mitotic-specific cyclin 1
K23469	CLB2; G2/mitotic-specific cyclin 2
K02555	MIH1; M-phase inducer tyrosine phosphatase
K06667	CAK1; serine/threonine-protein kinase CAK1
K02219	CKS1; cyclin-dependent kinase regulatory subunit CKS1
K03114	SWE1; mitosis inhibitor protein kinase SWE1
K10259	MET30; F-box and WD-40 domain protein MET30
K18669	DYRK2_3_4; dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4
K18679	CDR2; mitosis inducer protein kinase Cdr2
K18680	CDR1; mitosis inducer protein kinase Cdr1
K18639	KCC4; serine/threonine-protein kinase KCC4
K02515	HSL1; serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase
K02516	PRMT5, HSL7; type II protein arginine methyltransferase
K06668	GIN4; serine/threonine-protein kinase GIN4
K02544	MEC3; G2-specific checkpoint protein
K06663	DDC1; DNA damage checkpoint protein
K02830	HRAD1, RAD17; cell cycle checkpoint protein
K06662	HRAD17, RAD24; cell cycle checkpoint protein
K02543	MEC1; cell cycle checkpoint protein MEC1
K12578	LCD1, ddc2; DNA damage checkpoint protein LCD1
K06661	RAD9; DNA repair protein RAD9
K11272	MRC1; mediator of replication checkpoint protein 1
K02831	RAD53; ser/thr/tyr protein kinase RAD53
K06641	CHEK2; serine/threonine-protein kinase CHEK2
K09175	RFXX; regulatory factor X, other
K06665	SSN6, CYC8; general transcriptional corepressor CYC8
K06666	TUP1; general transcriptional corepressor TUP1
K06636	SMC1; structural maintenance of chromosome 1
K06669	SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)
K06670	SCC1, MCD1, RAD21; cohesin complex subunit SCC1
K06671	STAG1_2, SCC3, IRR1; cohesin complex subunit SA-1/2
K06672	SCC2, NIPBL; cohesin loading factor subunit SCC2
K06673	SCC4; cohesin loading factor subunit SCC4
K06674	SMC2; structural maintenance of chromosome 2
K06675	SMC4; structural maintenance of chromosome 4
K06676	BRRN1, BRN1, CAPH; condensin complex subunit 2
K06677	YCS4, CNAP1, CAPD2; condensin complex subunit 1
K06678	YCG1, CAPG; condensin complex subunit 3
K02313	dnaA; chromosomal replication initiator protein
K02314	dnaB; replicative DNA helicase
K13583	gcrA; GcrA cell cycle regulator
K13584	ctrA; two-component system, cell cycle response regulator CtrA
K13581	ccrM; modification methylase
K01338	lon; ATP-dependent Lon protease
K03531	ftsZ; cell division protein FtsZ
K03589	ftsQ; cell division protein FtsQ
K03590	ftsA; cell division protein FtsA
K03588	ftsW, spoVE; cell division protein FtsW
K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
K13585	hfaA; holdfast attachment protein HfaA
K13586	hfaB; holdfast attachment protein HfaB
K13582	podJ; localization factor PodJL
K06985	K06985; aspartyl protease family protein
K11749	rseP; regulator of sigma E protease
K07716	pleC; two-component system, cell cycle sensor histidine kinase PleC
K11357	divJ; two-component system, cell cycle sensor histidine kinase DivJ
K11443	divK; two-component system, cell cycle response regulator DivK
K13587	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA
K13588	chpT; histidine phosphotransferase ChpT
K13589	cpdR; two-component system, cell cycle response regulator CpdR
K03544	clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX
K01358	clpP, CLPP; ATP-dependent Clp protease, protease subunit
K02488	pleD; two-component system, cell cycle response regulator
K13590	dgcB; diguanylate cyclase
K13591	popA; two-component system, cell cycle response regulator PopA
K13592	rcdA; regulator of CtrA degradation
K13245	pdeA; c-di-GMP-specific phosphodiesterase
K13593	tipF; cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF
K02651	flp, pilA; pilus assembly protein Flp/PilA
K07203	MTOR, FRAP, TOR; serine/threonine-protein kinase mTOR
K06646	CLN3; G1/S-specific cyclin CLN3
K04563	CDC28, CDC2; cyclin-dependent kinase
K06649	SWI4; regulatory protein SWI4
K06648	SWI6; regulatory protein SWI6
K06650	CLN2; G1/S-specific cyclin CLN2
K09358	MATA1; mating-type protein A1
K09359	MATA2; mating-type protein A2
K09235	RME1; zinc finger protein RME1
K08139	HXT; MFS transporter, SP family, sugar:H+ symporter
K12761	SNF1; carbon catabolite-derepressing protein kinase
K12762	GPR1; G protein-coupled receptor GPR1
K04630	GNAI; guanine nucleotide-binding protein G(i) subunit alpha
K07827	KRAS, KRAS2; GTPase KRas
K01768	E4.6.1.1; adenylate cyclase
K04345	PKA; protein kinase A
K09468	MSN2_4; zinc finger protein MSN2/4
K12763	EFG1, SOK2; enhanced filamentous growth protein 1
K12764	IME1; meiosis-inducing protein 1
K12765	IME2; meiosis induction protein kinase IME2/SME1
K03085	SIC1; substrate and inhibitor of the cyclin-dependent protein kinase CDC28
K06651	CLB5_6; S-phase entry cyclin 5/6
K02213	CDC6; cell division control protein 6
K12414	TAH11; DNA replication licensing factor, required for pre-replication complex assembly
K02603	ORC1; origin recognition complex subunit 1
K02604	ORC2; origin recognition complex subunit 2
K02605	ORC3; origin recognition complex subunit 3
K02606	ORC4; origin recognition complex subunit 4
K02607	ORC5; origin recognition complex subunit 5
K02608	ORC6; origin recognition complex subunit 6
K02540	MCM2; DNA replication licensing factor MCM2
K02541	MCM3; DNA replication licensing factor MCM3
K02212	MCM4, CDC54; DNA replication licensing factor MCM4
K02209	MCM5, CDC46; DNA replication licensing factor MCM5
K02542	MCM6; DNA replication licensing factor MCM6
K02210	MCM7, CDC47; DNA replication licensing factor MCM7
K06628	CDC45; cell division control protein 45
K02214	CDC7; cell division control protein 7
K02309	DBF4; regulatory subunit for Cdc7p protein kinase
K12766	MDS1, RIM11; serine/threonine-protein kinase MDS1/RIM11
K12767	RIM15; serine/threonine-protein kinase RIM15
K09243	UME6; transcriptional regulatory protein UME6
K10878	SPO11; meiotic recombination protein SPO11
K10872	DMC1; meiotic recombination protein DMC1
K12768	ZIP1; synaptonemal complex protein ZIP1
K12769	NDT80; meiosis-specific transcription factor NDT80
K12770	GIP1; GLC7-interacting protein 1
K12771	SPS1; sporulation-specific protein 1
K12772	SPS4; sporulation-specific protein 4
K12773	SPR3; sporulation-regulated protein 3
K02220	CLB1; G2/mitotic-specific cyclin 1
K06659	CLB3_4; G2/mitotic-specific cyclin 3/4
K06660	CDC5; cell cycle serine/threonine-protein kinase CDC5/MSD2
K12576	SPO12; sporulation-specific protein 12
K12575	SLK19; kinetochore protein SLK19
K06639	CDC14; cell division cycle 14
K12774	MAM1; monopolin complex subunit MAM1
K12775	LRS4; monopolin complex subunit LRS4
K06269	PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit
K12776	MEK1; meiosis-specific serine/threonine-protein kinase MEK1
K12777	RED1; protein RED1
K12778	HORMAD, HOP1; meiosis-specific protein
K12779	SUM1; suppressor of MAR1-1 protein
K03114	SWE1; mitosis inhibitor protein kinase SWE1
K02544	MEC3; G2-specific checkpoint protein
K06663	DDC1; DNA damage checkpoint protein
K02830	HRAD1, RAD17; cell cycle checkpoint protein
K06662	HRAD17, RAD24; cell cycle checkpoint protein
K02543	MEC1; cell cycle checkpoint protein MEC1
K06661	RAD9; DNA repair protein RAD9
K02831	RAD53; ser/thr/tyr protein kinase RAD53
K02216	CHEK1; serine/threonine-protein kinase CHEK1
K02627	PDS1; cell cycle regulator
K02365	ESP1; separase
K06636	SMC1; structural maintenance of chromosome 1
K06669	SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)
K12780	REC8; meiotic recombination protein REC8, fungi type
K06671	STAG1_2, SCC3, IRR1; cohesin complex subunit SA-1/2
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2
K06679	MAD1; mitotic spindle assembly checkpoint protein MAD1
K03348	APC1; anaphase-promoting complex subunit 1
K03349	APC2; anaphase-promoting complex subunit 2
K03350	APC3, CDC27; anaphase-promoting complex subunit 3
K03351	APC4; anaphase-promoting complex subunit 4
K03352	APC5; anaphase-promoting complex subunit 5
K03353	APC6, CDC16; anaphase-promoting complex subunit 6
K03354	APC7; anaphase-promoting complex subunit 7
K03355	APC8, CDC23; anaphase-promoting complex subunit 8
K03356	APC9; anaphase-promoting complex subunit 9
K03357	APC10, DOC1; anaphase-promoting complex subunit 10
K03358	APC11; anaphase-promoting complex subunit 11
K03359	APC12, CDC26; anaphase-promoting complex subunit 12
K12416	SWM1, APC13; anaphase-promoting complex subunit SWM1
K03363	CDC20; cell division cycle 20, cofactor of APC complex
K02178	BUB1; checkpoint serine/threonine-protein kinase
K11582	SGO1; shugoshin
K11584	PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'
K04382	PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit
K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A
K12781	MND2; anaphase-promoting complex subunit MND2
K12782	AMA1; meiosis-specific APC/C activator protein AMA1
K12783	SSP1; sporulation-specific protein 1
K06683	CDC15; cell division control protein CDC15
K04526	INS; insulin
K05459	IGF1; insulin-like growth factor 1
K05087	IGF1R, CD221; insulin-like growth factor 1 receptor
K08556	PGR, NR3C3; progesterone receptor
K08557	AR, NR3C4; androgen receptor
K08041	ADCY1; adenylate cyclase 1
K08042	ADCY2; adenylate cyclase 2
K08043	ADCY3; adenylate cyclase 3
K08044	ADCY4; adenylate cyclase 4
K08045	ADCY5; adenylate cyclase 5
K08046	ADCY6; adenylate cyclase 6
K08047	ADCY7; adenylate cyclase 7
K08048	ADCY8; adenylate cyclase 8
K08049	ADCY9; adenylate cyclase 9
K04345	PKA; protein kinase A
K11481	AURKA; aurora kinase A
K02602	CPEB, ORB; cytoplasmic polyadenylation element-binding protein
K04367	MOS; proto-oncogene serine/threonine-protein kinase mos
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1
K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3
K04373	RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6
K06633	PKMYT; membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
K16197	YWHAB_Q_Z; 14-3-3 protein beta/theta/zeta
K06630	YWHAE; 14-3-3 protein epsilon
K16198	YWHAG_H; 14-3-3 protein gamma/eta
K08694	SPDY, RINGO; speedy
K02087	CDK1, CDC2; cyclin-dependent kinase 1
K02206	CDK2; cyclin-dependent kinase 2
K04441	P38; p38 MAP kinase
K06269	PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit
K08836	SLK; STE20-like kinase
K06631	PLK1; polo-like kinase 1
K05867	CDC25C; M-phase inducer phosphatase 3
K21770	CCNB2; G2/mitotic-specific cyclin-B2
K13056	C3H-4; CCCH zinc finger protein C3H-4
K03868	RBX1, ROC1; E3 ubiquitin-protein ligase RBX1
K03347	CUL1, CDC53; cullin 1
K03094	SKP1, CBF3D; S-phase kinase-associated protein 1
K03362	FBXW1_11, BTRC, beta-TRCP; F-box and WD-40 domain protein 1/11
K10292	FBXO5, EMI1; F-box protein 5
K03348	APC1; anaphase-promoting complex subunit 1
K03349	APC2; anaphase-promoting complex subunit 2
K03350	APC3, CDC27; anaphase-promoting complex subunit 3
K03351	APC4; anaphase-promoting complex subunit 4
K03352	APC5; anaphase-promoting complex subunit 5
K03353	APC6, CDC16; anaphase-promoting complex subunit 6
K03354	APC7; anaphase-promoting complex subunit 7
K03355	APC8, CDC23; anaphase-promoting complex subunit 8
K03356	APC9; anaphase-promoting complex subunit 9
K03357	APC10, DOC1; anaphase-promoting complex subunit 10
K03358	APC11; anaphase-promoting complex subunit 11
K03359	APC12, CDC26; anaphase-promoting complex subunit 12
K12456	APC13; anaphase-promoting complex subunit 13
K03363	CDC20; cell division cycle 20, cofactor of APC complex
K10318	FBXO43, EMI2; F-box protein 43
K06635	PTTG; securin
K02365	ESP1; separase
K13054	REC8L; meiotic recombination protein REC8, animal type
K13055	STAG3; cohesin complex subunit SA-3
K06636	SMC1; structural maintenance of chromosome 1
K06669	SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)
K05868	CCNB1; G2/mitotic-specific cyclin-B1
K02178	BUB1; checkpoint serine/threonine-protein kinase
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2
K13728	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B
K06679	MAD1; mitotic spindle assembly checkpoint protein MAD1
K06626	CCNE; G1/S-specific cyclin-E1
K11580	SGOL1; shugoshin-like 1
K11584	PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'
K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A
K04382	PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit
K05861	PLCZ; phosphatidylinositol phospholipase C, zeta
K04958	ITPR1; inositol 1,4,5-triphosphate receptor type 1
K04959	ITPR2; inositol 1,4,5-triphosphate receptor type 2
K04960	ITPR3; inositol 1,4,5-triphosphate receptor type 3
K02183	CALM; calmodulin
K04348	PPP3C, CNA; serine/threonine-protein phosphatase 2B catalytic subunit
K06268	PPP3R, CNB; serine/threonine-protein phosphatase 2B regulatory subunit
K04515	CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II
K04721	TNFSF10, TRAIL, CD253; tumor necrosis factor ligand superfamily member 10
K04722	TNFRSF10A_B, TRAILR1_2, DR4_5, CD261_2; tumor necrosis factor receptor superfamily member 10A/B
K04389	TNFSF6, FASL, CD178; tumor necrosis factor ligand superfamily member 6
K04390	TNFRSF6, FAS, CD95; tumor necrosis factor receptor superfamily member 6
K02373	FADD; FAS-associated death domain protein
K03156	TNF, TNFA; tumor necrosis factor superfamily, member 2
K03158	TNFRSF1A, TNFR1, CD120a; tumor necrosis factor receptor superfamily member 1A
K03171	TRADD; tumor necrosis factor receptor type 1-associated DEATH domain protein
K04724	CFLAR, FLIP; CASP8 and FADD-like apoptosis regulator
K04398	CASP8; caspase 8
K04400	CASP10; caspase 10
K04396	CASP6; caspase 6
K02187	CASP3; caspase 3
K04397	CASP7; caspase 7
K04726	BID; BH3 interacting domain death agonist
K02159	BAX; apoptosis regulator BAX
K14021	BAK, BAK1; Bcl-2 homologous antagonist/killer
K10522	DIABLO, SMAC; diablo
K16943	SEPT4; septin 4
K08669	HTRA2, PRSS25; HtrA serine peptidase 2
K08738	CYC; cytochrome c
K02084	APAF1; apoptotic protease-activating factor
K04399	CASP9; caspase 9
K07818	PRF1; perforin 1
K01353	GZMB; granzyme B
K07374	TUBA; tubulin alpha
K02539	MCL1; myeloid leukemia cell differntiation protein MCL-1
K05692	ACTB_G1; actin beta/gamma 1
K06114	SPTA; spectrin alpha
K12641	LMNA; lamin A/C
K07611	LMNB; lamin B
K24070	PARP1; poly
K10798	PARP2_3_4; poly
K02310	DFFA, DFF45; DNA fragmentation factor, 45 kD, alpha subunit
K02311	DFFB, DFF40; DNA fragmentation factor, 40 kD, beta subunit
K01173	ENDOG; endonuclease G, mitochondrial
K04727	AIFM1, PDCD8; apoptosis-inducing factor 1
K08852	ERN1; serine/threonine-protein kinase/endoribonuclease IRE1
K03173	TRAF2; TNF receptor-associated factor 2
K04958	ITPR1; inositol 1,4,5-triphosphate receptor type 1
K04959	ITPR2; inositol 1,4,5-triphosphate receptor type 2
K04960	ITPR3; inositol 1,4,5-triphosphate receptor type 3
K01367	CAPN1; calpain-1
K03853	CAPN2; calpain-2
K04741	CASP12; caspase 12
K08860	EIF2AK3; eukaryotic translation initiation factor 2-alpha kinase 3
K03237	EIF2S1; translation initiation factor 2 subunit 1
K04374	ATF4, CREB2; cyclic AMP-dependent transcription factor ATF-4
K04452	DDIT3, GADD153; DNA damage-inducible transcript 3
K01363	CTSB; cathepsin B
K01275	CTSC; cathepsin C
K01379	CTSD; cathepsin D
K01373	CTSF; cathepsin F
K01366	CTSH; cathepsin H
K01371	CTSK; cathepsin K
K01365	CTSL; cathepsin L
K01374	CTSO; cathepsin O
K01368	CTSS; cathepsin S
K01375	CTSL2, CTSV; cathepsin V
K08569	CTSW; cathepsin W
K08568	CTSZ; cathepsin X
K16060	BIRC2_3; baculoviral IAP repeat-containing protein 2/3
K04725	XIAP, BIRC4; E3 ubiquitin-protein ligase XIAP
K08731	BIRC5; baculoviral IAP repeat-containing protein 5
K16341	BCL2L11, BIM; Bcl-2-like protein 11
K04570	BCL2L1, bcl-xL; Bcl-2-like 1 (apoptosis regulator Bcl-X)
K02161	BCL2; apoptosis regulator Bcl-2
K02308	DAXX; death-associated protein 6
K02861	RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1
K19901	DAB2IP, AIP1; disabled homolog 2-interacting protein
K04426	MAP3K5, ASK1; mitogen-activated protein kinase kinase kinase 5
K04440	JNK; mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase)
K02158	BAD; Bcl-2-antagonist of cell death
K04448	JUN; transcription factor AP-1
K04379	FOS; proto-oncogene protein c-fos
K04451	TP53, P53; tumor protein p53
K02512	HRK; activator of apoptosis harakiri
K04466	MAP3K14, NIK; mitogen-activated protein kinase kinase kinase 14
K04467	IKBKA, IKKA, CHUK; inhibitor of nuclear factor kappa-B kinase subunit alpha
K07209	IKBKB, IKKB; inhibitor of nuclear factor kappa-B kinase subunit beta
K07210	IKBKG, IKKG, NEMO; inhibitor of nuclear factor kappa-B kinase subunit gamma
K04734	NFKBIA; NF-kappa-B inhibitor alpha
K02580	NFKB1; nuclear factor NF-kappa-B p105 subunit
K04735	RELA; transcription factor p65
K02374	PTPN13, FAP-1; tyrosine-protein phosphatase non-receptor type 13
K04402	GADD45; growth arrest and DNA-damage-inducible protein
K03172	TRAF1; TNF receptor-associated factor 1
K02162	BCL2A1; hematopoietic Bcl-2-related protein A1
K04728	ATM, TEL1; serine-protein kinase ATM
K10130	LRDD, PIDD; leucine-rich repeats and death domain-containing protein
K13773	TP53AIP1; p53-regulated apoptosis-inducing protein 1
K10132	BBC3, PUMA; Bcl-2-binding component 3
K10131	PMAIP1, NOXA; phorbol-12-myristate-13-acetate-induced protein 1
K02186	CASP2; caspase 2
K02582	NGFB; nerve growth factor, beta
K03176	NTRK1, TRKA; neurotrophic tyrosine kinase receptor type 1
K04736	IL3; interleukin 3
K04737	IL3RA, CD123; interleukin 3 receptor alpha
K04738	CSF2RB, IL3RB, CD131; cytokine receptor common subunit beta
K00922	PIK3CA_B_D; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta
K02649	PIK3R1_2_3; phosphoinositide-3-kinase regulatory subunit alpha/beta/delta
K06276	PDPK1; 3-phosphoinositide dependent protein kinase-1
K04456	AKT; RAC serine/threonine-protein kinase
K02833	HRAS; GTPase HRas
K07827	KRAS, KRAS2; GTPase KRas
K07828	NRAS; GTPase NRas
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1
K04369	MAP2K2, MEK2; mitogen-activated protein kinase kinase 2
K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3
K14034	NR1H1, EcR; ecdysone receptor
K14030	NR2B4, usp; nuclear receptor subfamily 2 group B member 4
K20014	RPR; cell death protein rpr
K20009	DRONC; caspase Dronc
K09428	ELF1_2_4; E74-like factor 1/2/4
K02174	BR-C; broad-complex core protein
K20015	EIP93F; ecdysone-induced protein 93F, isoform B
K20016	HID; cell death protein hid
K04397	CASP7; caspase 7
K02084	APAF1; apoptotic protease-activating factor
K20010	STRICA; Ser/Thr-rich caspase
K02561	BOK; Bcl-2-related ovarian killer protein
K20017	BUFFY; Bcl-2 family protein
K17065	DNM1L; dynamin 1-like protein
K06030	MFN2, FZO1; mitofusin 2
K08738	CYC; cytochrome c
K05770	TSPO, BZRP; translocator protein
K04727	AIFM1, PDCD8; apoptosis-inducing factor 1
K07870	RHOT1, ARHT1; mitochondrial Rho GTPase 1
K10586	BIRC6, BRUCE; baculoviral IAP repeat-containing protein 6 (apollon)
K03386	PRDX2_4, ahpC; peroxiredoxin 2/4
K20018	GRIM; cell death protein Grim
K20019	SKL; IAP-inhibitory protein Sickle
K08860	EIF2AK3; eukaryotic translation initiation factor 2-alpha kinase 3
K04374	ATF4, CREB2; cyclic AMP-dependent transcription factor ATF-4
K08669	HTRA2, PRSS25; HtrA serine peptidase 2
K04725	XIAP, BIRC4; E3 ubiquitin-protein ligase XIAP
K04398	CASP8; caspase 8
K20008	DCP1; death caspase-1
K01527	EGD1, BTF3; nascent polypeptide-associated complex subunit beta
K03262	EIF5; translation initiation factor 5
K07611	LMNB; lamin B
K24070	PARP1; poly
K16736	BAN; bantam
K04361	EGFR, ERBB1; epidermal growth factor receptor
K07827	KRAS, KRAS2; GTPase KRas
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase
K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3
K04412	STK3, MST2; serine/threonine kinase 3
K16686	SAV1, Sav; scaffold protein salvador
K08791	LATS1_2, Wts; serine/threonine-protein kinase LATS1/2
K09848	TRAF4; TNF receptor-associated factor 4
K04426	MAP3K5, ASK1; mitogen-activated protein kinase kinase kinase 5
K16678	EGR; eiger
K16679	WGN; wengen
K03175	TRAF6; TNF receptor-associated factor 6
K04427	MAP3K7, TAK1; mitogen-activated protein kinase kinase kinase 7
K04404	MAP3K7IP2, TAB2; TAK1-binding protein 2
K04431	MAP2K7, MKK7; mitogen-activated protein kinase kinase 7
K04440	JNK; mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase)
K04448	JUN; transcription factor AP-1
K09031	FOSLN; fos-like antigen, invertebrate
K20216	DUSP10; dual specificity phosphatase 10
K04728	ATM, TEL1; serine-protein kinase ATM
K06640	ATR; serine/threonine-protein kinase ATR
K10149	TP63; tumor protein p63
K03158	TNFRSF1A, TNFR1, CD120a; tumor necrosis factor receptor superfamily member 1A
K02373	FADD; FAS-associated death domain protein
K04398	CASP8; caspase 8
K04397	CASP7; caspase 7
K02187	CASP3; caspase 3
K04726	BID; BH3 interacting domain death agonist
K16341	BCL2L11, BIM; Bcl-2-like protein 11
K10131	PMAIP1, NOXA; phorbol-12-myristate-13-acetate-induced protein 1
K10132	BBC3, PUMA; Bcl-2-binding component 3
K02161	BCL2; apoptosis regulator Bcl-2
K04570	BCL2L1, bcl-xL; Bcl-2-like 1 (apoptosis regulator Bcl-X)
K02159	BAX; apoptosis regulator BAX
K14021	BAK, BAK1; Bcl-2 homologous antagonist/killer
