KOGID	kogidname
KOG0894	Ubiquitin-protein ligase
KOG0895	Ubiquitin-conjugating enzyme
KOG0896	Ubiquitin-conjugating enzyme E2
KOG0897	Predicted ubiquitin-conjugating enzyme
KOG0898	40S ribosomal protein S15
KOG0899	Mitochondrial/chloroplast ribosomal protein S19
KOG0900	40S ribosomal protein S20
KOG0901	60S ribosomal protein L14/L17/L23
KOG0902	Phosphatidylinositol 4-kinase
KOG0903	Phosphatidylinositol 4-kinase, involved in intracellular trafficking and secretion
KOG0904	Phosphatidylinositol 3-kinase catalytic subunit (p110)
KOG0905	Phosphoinositide 3-kinase
KOG0906	Phosphatidylinositol 3-kinase VPS34, involved in signal transduction
KOG0907	Thioredoxin
KOG0908	Thioredoxin-like protein
KOG0909	Peptide:N-glycanase
KOG0910	Thioredoxin-like protein
KOG0911	Glutaredoxin-related protein
KOG0912	Thiol-disulfide isomerase and thioredoxin
KOG0913	Thiol-disulfide isomerase and thioredoxin
KOG0914	Thioredoxin-like protein
KOG0915	Uncharacterized conserved protein
KOG0916	1,3-beta-glucan synthase/callose synthase catalytic subunit
KOG0917	Uncharacterized conserved protein
KOG0918	Selenium-binding protein
KOG0919	C-5 cytosine-specific DNA methylase
KOG0920	ATP-dependent RNA helicase A
KOG0921	Dosage compensation complex, subunit MLE
KOG0922	DEAH-box RNA helicase
KOG0923	mRNA splicing factor ATP-dependent RNA helicase
KOG0924	mRNA splicing factor ATP-dependent RNA helicase
KOG0925	mRNA splicing factor ATP-dependent RNA helicase
KOG0926	DEAH-box RNA helicase
KOG0927	Predicted transporter (ABC superfamily)
KOG0928	Pattern-formation protein/guanine nucleotide exchange factor
KOG0929	Guanine nucleotide exchange factor
KOG0930	Guanine nucleotide exchange factor Cytohesin, contains PH and Sec7 domains
KOG0931	Predicted guanine nucleotide exchange factor, contains Sec7 domain
KOG0932	Guanine nucleotide exchange factor EFA6
KOG0933	Structural maintenance of chromosome protein 2 (chromosome condensation complex Condensin, subunit E)
KOG0934	Clathrin adaptor complex, small subunit
KOG0935	Clathrin adaptor complex, small subunit
KOG0936	Clathrin adaptor complex, small subunit
KOG0937	Adaptor complexes medium subunit family
KOG0938	Adaptor complexes medium subunit family
KOG0939	E3 ubiquitin-protein ligase/Putative upstream regulatory element binding protein
KOG0940	Ubiquitin protein ligase RSP5/NEDD4
KOG0941	E3 ubiquitin protein ligase
KOG0942	E3 ubiquitin protein ligase
KOG0943	Predicted ubiquitin-protein ligase/hyperplastic discs protein, HECT superfamily
KOG0944	Ubiquitin-specific protease UBP14
KOG0945	Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase
KOG0946	ER-Golgi vesicle-tethering protein p115
KOG0947	Cytoplasmic exosomal RNA helicase SKI2, DEAD-box superfamily
KOG0948	Nuclear exosomal RNA helicase MTR4, DEAD-box superfamily
KOG0949	Predicted helicase, DEAD-box superfamily
KOG0950	DNA polymerase theta/eta, DEAD-box superfamily
KOG0951	RNA helicase BRR2, DEAD-box superfamily
KOG0952	DNA/RNA helicase MER3/SLH1, DEAD-box superfamily
KOG0953	Mitochondrial RNA helicase SUV3, DEAD-box superfamily
KOG0954	PHD finger protein
KOG0955	PHD finger protein BR140/LIN-49
KOG0956	PHD finger protein AF10
KOG0957	PHD finger protein
KOG0958	DNA damage-responsive repressor GIS1/RPH1, jumonji superfamily
KOG0959	N-arginine dibasic convertase NRD1 and related Zn2+-dependent endopeptidases, insulinase superfamily
KOG0960	Mitochondrial processing peptidase, beta subunit, and related enzymes (insulinase superfamily)
KOG0961	Predicted Zn2+-dependent endopeptidase, insulinase superfamily
KOG0962	DNA repair protein RAD50, ABC-type ATPase/SMC superfamily
KOG0963	Transcription factor/CCAAT displacement protein CDP1
KOG0964	Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin, subunit SMC3)
KOG0965	Predicted RNA-binding protein, contains SWAP and G-patch domains
KOG0966	ATP-dependent DNA ligase IV
KOG0967	ATP-dependent DNA ligase I
KOG0968	DNA polymerase zeta, catalytic subunit
KOG0969	DNA polymerase delta, catalytic subunit
KOG0970	DNA polymerase alpha, catalytic subunit
KOG0971	Microtubule-associated protein dynactin DCTN1/Glued
KOG0972	Huntingtin interacting protein 1 (Hip1) interactor Hippi
KOG0973	Histone transcription regulator HIRA, WD repeat superfamily
KOG0974	WD-repeat protein WDR6, WD repeat superfamily
KOG0975	Branched chain aminotransferase BCAT1, pyridoxal phosphate enzymes type IV superfamily
KOG0976	Rho/Rac1-interacting serine/threonine kinase Citron
KOG0977	Nuclear envelope protein lamin, intermediate filament superfamily
KOG0978	E3 ubiquitin ligase involved in syntaxin degradation
KOG0979	Structural maintenance of chromosome protein SMC5/Spr18, SMC superfamily
KOG0980	Actin-binding protein SLA2/Huntingtin-interacting protein Hip1
KOG0981	DNA topoisomerase I
KOG0982	Centrosomal protein Nuf
KOG0983	Mitogen-activated protein kinase (MAPK) kinase MKK7/JNKK2
KOG0984	Mitogen-activated protein kinase (MAPK) kinase MKK3/MKK6
KOG0985	Vesicle coat protein clathrin, heavy chain
KOG0986	G protein-coupled receptor kinase
KOG0987	DNA helicase PIF1/RRM3
KOG0988	RNA-directed RNA polymerase QDE-1 required for posttranscriptional gene silencing and RNA interference
KOG0989	Replication factor C, subunit RFC4
KOG0990	Replication factor C, subunit RFC5
KOG0991	Replication factor C, subunit RFC2
KOG0992	Uncharacterized conserved protein
KOG0993	Rab5 GTPase effector Rabaptin-5
KOG0994	Extracellular matrix glycoprotein Laminin subunit beta
KOG0995	Centromere-associated protein HEC1
KOG0996	Structural maintenance of chromosome protein 4 (chromosome condensation complex Condensin, subunit C)
KOG0997	Uncharacterized conserved protein Sand
KOG0998	Synaptic vesicle protein EHS-1 and related EH domain proteins
KOG0999	Microtubule-associated protein Bicaudal-D
KOG1000	Chromatin remodeling protein HARP/SMARCAL1, DEAD-box superfamily
KOG1001	Helicase-like transcription factor HLTF/DNA helicase RAD5, DEAD-box superfamily
KOG1002	Nucleotide excision repair protein RAD16
KOG1003	Actin filament-coating protein tropomyosin
KOG1004	Exosomal 3'-5' exoribonuclease complex subunit Rrp40
KOG1005	Telomerase catalytic subunit/reverse transcriptase TERT
KOG1006	Mitogen-activated protein kinase (MAPK) kinase MKK4
KOG1007	WD repeat protein TSSC1, WD repeat superfamily
KOG1008	Uncharacterized conserved protein, contains WD40 repeats
KOG1009	Chromatin assembly complex 1 subunit B/CAC2 (contains WD40 repeats)
KOG1010	Rb (Retinoblastoma tumor suppressor)-related protein
KOG1011	Neurotransmitter release regulator, UNC-13
KOG1012	Ca2+-dependent lipid-binding protein CLB1/vesicle protein vp115/Granuphilin A, contains C2 domain
KOG1013	Synaptic vesicle protein rabphilin-3A
KOG1014	17 beta-hydroxysteroid dehydrogenase type 3, HSD17B3
KOG1015	Transcription regulator XNP/ATRX, DEAD-box superfamily
KOG1016	Predicted DNA helicase, DEAD-box superfamily
KOG1017	Predicted uracil phosphoribosyltransferase
KOG1018	Cytosine deaminase FCY1 and related enzymes
KOG1019	Retinoblastoma pathway protein LIN-9/chromatin-associated protein Aly
KOG1020	Sister chromatid cohesion protein SCC2/Nipped-B
KOG1021	Acetylglucosaminyltransferase EXT1/exostosin 1
KOG1022	Acetylglucosaminyltransferase EXT2/exostosin 2
KOG1023	Natriuretic peptide receptor, guanylate cyclase
KOG1024	Receptor-like protein tyrosine kinase RYK/derailed
KOG1025	Epidermal growth factor receptor EGFR and related tyrosine kinases
KOG1026	Nerve growth factor receptor TRKA and related tyrosine kinases
KOG1027	Serine/threonine protein kinase and endoribonuclease ERN1/IRE1, sensor of the unfolded protein response pathway
KOG1028	Ca2+-dependent phospholipid-binding protein Synaptotagmin, required for synaptic vesicle and secretory granule exocytosis
KOG1029	Endocytic adaptor protein intersectin
KOG1030	Predicted Ca2+-dependent phospholipid-binding protein
KOG1031	Predicted Ca2+-dependent phospholipid-binding protein
KOG1032	Uncharacterized conserved protein, contains GRAM domain
KOG1033	eIF-2alpha kinase PEK/EIF2AK3
KOG1034	Transcriptional repressor EED/ESC/FIE, required for transcriptional silencing, WD repeat superfamily
KOG1035	eIF-2alpha kinase GCN2
KOG1036	Mitotic spindle checkpoint protein BUB3, WD repeat superfamily
KOG1037	NAD+ ADP-ribosyltransferase Parp, required for poly-ADP ribosylation of nuclear proteins
KOG1038	Mitochondrial/chloroplast DNA-directed RNA polymerase RPO41, provides primers for DNA replication-initiation
KOG1039	Predicted E3 ubiquitin ligase
KOG1040	Polyadenylation factor I complex, subunit, Yth1 (CPSF subunit)
KOG1041	Translation initiation factor 2C (eIF-2C) and related proteins
KOG1042	Germ-line stem cell division protein Hiwi/Piwi; negative developmental regulator
KOG1043	Ca2+-binding transmembrane protein LETM1/MRS7
KOG1044	Actin-binding LIM Zn-finger protein Limatin involved in axon guidance
KOG1045	Uncharacterized conserved protein HEN1/CORYMBOSA2
KOG1046	Puromycin-sensitive aminopeptidase and related aminopeptidases
KOG1047	Bifunctional leukotriene A4 hydrolase/aminopeptidase LTA4H
KOG1048	Neural adherens junction protein Plakophilin and related Armadillo repeat proteins
KOG1049	Polyadenylation factor I complex, subunit FIP1
KOG1050	Trehalose-6-phosphate synthase component TPS1 and related subunits
KOG1051	Chaperone HSP104 and related ATP-dependent Clp proteases
KOG1052	Glutamate-gated kainate-type ion channel receptor subunit GluR5 and related subunits
KOG1053	Glutamate-gated NMDA-type ion channel receptor subunit GRIN2A and related subunits
KOG1054	Glutamate-gated AMPA-type ion channel receptor subunit GluR2 and related subunits
KOG1055	GABA-B ion channel receptor subunit GABABR1 and related subunits, G-protein coupled receptor superfamily
KOG1056	Glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits, G-protein coupled receptor superfamily
KOG1057	Arp2/3 complex-interacting protein VIP1/Asp1, involved in regulation of actin cytoskeleton
KOG1058	Vesicle coat complex COPI, beta subunit
KOG1059	Vesicle coat complex AP-3, delta subunit
KOG1060	Vesicle coat complex AP-3, beta subunit
KOG1061	Vesicle coat complex AP-1/AP-2/AP-4, beta subunit
KOG1062	Vesicle coat complex AP-1, gamma subunit
KOG1063	RNA polymerase II elongator complex, subunit ELP2, WD repeat superfamily
KOG1064	RAVE (regulator of V-ATPase assembly) complex subunit RAV1/DMX protein, WD repeat superfamily
KOG1065	Maltase glucoamylase and related hydrolases, glycosyl hydrolase family 31
KOG1066	Glucosidase II catalytic (alpha) subunit and related enzymes, glycosyl hydrolase family 31
KOG1067	Predicted RNA-binding polyribonucleotide nucleotidyltransferase
KOG1068	Exosomal 3'-5' exoribonuclease complex, subunit Rrp41 and related exoribonucleases
KOG1069	Exosomal 3'-5' exoribonuclease complex, subunit Rrp46
KOG1070	rRNA processing protein Rrp5
KOG1071	Mitochondrial translation elongation factor EF-Tsmt, catalyzes nucleotide exchange on EF-Tumt
KOG1072	FOG: Kelch repeat
KOG1073	Uncharacterized mRNA-associated protein RAP55
KOG1074	Transcriptional repressor SALM
KOG1075	FOG: Reverse transcriptase
KOG1076	Translation initiation factor 3, subunit c (eIF-3c)
KOG1077	Vesicle coat complex AP-2, alpha subunit
KOG1078	Vesicle coat complex COPI, gamma subunit
KOG1079	Transcriptional repressor EZH1
KOG1080	Histone H3 (Lys4) methyltransferase complex, subunit SET1 and related methyltransferases
KOG1081	Transcription factor NSD1 and related SET domain proteins
KOG1082	Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing
KOG1083	Putative transcription factor ASH1/LIN-59
KOG1084	Transcription factor TCF20
KOG1085	Predicted methyltransferase (contains a SET domain)
KOG1086	Cytosolic sorting protein/ADP-ribosylation factor effector GGA
KOG1087	Cytosolic sorting protein GGA2/TOM1
KOG1088	Uncharacterized conserved protein
KOG1089	Myotubularin-related phosphatidylinositol 3-phosphate 3-phosphatase MTM6
KOG1090	Predicted dual-specificity phosphatase
KOG1091	Ypt/Rab-specific GTPase-activating protein GYP6
KOG1092	Ypt/Rab-specific GTPase-activating protein GYP1
KOG1093	Predicted protein kinase (contains TBC and RHOD domains)
KOG1094	Discoidin domain receptor DDR1
KOG1095	Protein tyrosine kinase
KOG1096	Adenosine monophosphate deaminase
KOG1097	Adenine deaminase/adenosine deaminase
KOG1098	Putative SAM-dependent rRNA methyltransferase SPB1
KOG1099	SAM-dependent methyltransferase/cell division protein FtsJ
KOG1100	Predicted E3 ubiquitin ligase
KOG1101	Apoptosis inhibitor IAP1 and related BIR domain proteins
KOG1102	Rab6 GTPase activator GAPCenA and related TBC domain proteins
KOG1103	Predicted coiled-coil protein
KOG1104	Nuclear cap-binding complex, subunit NCBP1/CBP80
KOG1105	Transcription elongation factor TFIIS/Cofactor of enhancer-binding protein Sp1
KOG1106	Uncharacterized conserved protein
KOG1107	Membrane coat complex Retromer, subunit VPS35
KOG1108	Predicted heme/steroid binding protein
KOG1109	Vacuole membrane protein VMP1
KOG1110	Putative steroid membrane receptor Hpr6.6/25-Dx
KOG1111	N-acetylglucosaminyltransferase complex, subunit PIG-A/SPT14, required for phosphatidylinositol biosynthesis/Sulfolipid synthase
KOG1112	Ribonucleotide reductase, alpha subunit
KOG1113	cAMP-dependent protein kinase types I and II, regulatory subunit
KOG1114	Tripeptidyl peptidase II
KOG1115	Ceramide kinase
KOG1116	Sphingosine kinase, involved in sphingolipid metabolism
KOG1117	Rho- and Arf-GTPase activating protein ARAP3
KOG1118	Lysophosphatidic acid acyltransferase endophilin/SH3GL, involved in synaptic vesicle formation
KOG1119	Mitochondrial Fe-S cluster biosynthesis protein ISA2 (contains a HesB-like domain)
KOG1120	Fe-S cluster biosynthesis protein ISA1 (contains a HesB-like domain)
KOG1121	Tam3-transposase (Ac family)
KOG1122	tRNA and rRNA cytosine-C5-methylase (nucleolar protein NOL1/NOP2)
KOG1123	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, 3'-5' helicase subunit SSL2
KOG1124	FOG: TPR repeat
KOG1125	TPR repeat-containing protein
KOG1126	DNA-binding cell division cycle control protein
KOG1127	TPR repeat-containing protein
KOG1128	Uncharacterized conserved protein, contains TPR repeats
KOG1129	TPR repeat-containing protein
KOG1130	Predicted G-alpha GTPase interaction protein, contains GoLoco domain
KOG1131	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, 5'-3' helicase subunit RAD3
KOG1132	Helicase of the DEAD superfamily
KOG1133	Helicase of the DEAD superfamily
KOG1134	Uncharacterized conserved protein
KOG1135	mRNA cleavage and polyadenylation factor II complex, subunit CFT2 (CPSF subunit)
KOG1136	Predicted cleavage and polyadenylation specificity factor (CPSF subunit)
KOG1137	mRNA cleavage and polyadenylation factor II complex, BRR5 (CPSF subunit)
KOG1138	Predicted cleavage and polyadenylation specificity factor (CPSF subunit)
KOG1139	Predicted ubiquitin-protein ligase of the N-recognin family
KOG1140	N-end rule pathway, recognition component UBR1
KOG1141	Predicted histone methyl transferase
KOG1142	Transcription initiation factor TFIID, subunit TAF12 (also component of histone acetyltransferase SAGA)
KOG1143	Predicted translation elongation factor
KOG1144	Translation initiation factor 5B (eIF-5B)
KOG1145	Mitochondrial translation initiation factor 2 (IF-2; GTPase)
KOG1146	Homeobox protein
KOG1147	Glutamyl-tRNA synthetase
KOG1148	Glutaminyl-tRNA synthetase
KOG1149	Glutamyl-tRNA synthetase (mitochondrial)
KOG1150	Predicted molecular chaperone (DnaJ superfamily)
KOG1151	Tousled-like protein kinase
KOG1152	Signal transduction serine/threonine kinase with PAS/PAC sensor domain
KOG1153	Subtilisin-related protease/Vacuolar protease B
KOG1154	Gamma-glutamyl kinase
KOG1155	Anaphase-promoting complex (APC), Cdc23 subunit
KOG1156	N-terminal acetyltransferase
KOG1157	Predicted guanosine polyphosphate pyrophosphohydrolase/synthase
KOG1158	NADP/FAD dependent oxidoreductase
KOG1159	NADP-dependent flavoprotein reductase
KOG1160	Fe-S oxidoreductase
KOG1161	Protein involved in vacuolar polyphosphate accumulation, contains SPX domain
KOG1162	Predicted small molecule transporter
KOG1163	Casein kinase (serine/threonine/tyrosine protein kinase)
KOG1164	Casein kinase (serine/threonine/tyrosine protein kinase)
KOG1165	Casein kinase (serine/threonine/tyrosine protein kinase)
KOG1166	Mitotic checkpoint serine/threonine protein kinase
KOG1167	Serine/threonine protein kinase of the CDC7 subfamily involved in DNA synthesis, repair and recombination
KOG1168	Transcription factor ACJ6/BRN-3, contains POU and HOX domains
KOG1169	Diacylglycerol kinase
KOG1170	Diacylglycerol kinase
KOG1171	Metallothionein-like protein
KOG1172	Na+-independent Cl/HCO3 exchanger AE1 and related transporters (SLC4 family)
KOG1173	Anaphase-promoting complex (APC), Cdc16 subunit
KOG1174	Anaphase-promoting complex (APC), subunit 7
KOG1175	Acyl-CoA synthetase
KOG1176	Acyl-CoA synthetase
KOG1177	Long chain fatty acid acyl-CoA ligase
KOG1178	Non-ribosomal peptide synthetase/alpha-aminoadipate reductase and related enzymes
KOG1179	Very long-chain acyl-CoA synthetase/fatty acid transporter
KOG1180	Acyl-CoA synthetase
KOG1181	FOG: Low-complexity
KOG1182	Branched chain alpha-keto acid dehydrogenase complex, alpha subunit
KOG1183	N-acetylglucosaminyltransferase complex, subunit PIG-Q/GPI1, required for phosphatidylinositol biosynthesis
KOG1184	Thiamine pyrophosphate-requiring enzyme
KOG1185	Thiamine pyrophosphate-requiring enzyme
KOG1186	Copper amine oxidase
KOG1187	Serine/threonine protein kinase
KOG1188	WD40 repeat protein
KOG1189	Global transcriptional regulator, cell division control protein
KOG1190	Polypyrimidine tract-binding protein
KOG1191	Mitochondrial GTPase
KOG1192	UDP-glucuronosyl and UDP-glucosyl transferase
KOG1193	Arginyl-tRNA-protein transferase
KOG1194	Predicted DNA-binding protein, contains Myb-like, SANT and ELM2 domains
KOG1195	Arginyl-tRNA synthetase
KOG1196	Predicted NAD-dependent oxidoreductase
KOG1197	Predicted quinone oxidoreductase
KOG1198	Zinc-binding oxidoreductase
KOG1199	Short-chain alcohol dehydrogenase/3-hydroxyacyl-CoA dehydrogenase
KOG1200	Mitochondrial/plastidial beta-ketoacyl-ACP reductase
KOG1201	Hydroxysteroid 17-beta dehydrogenase 11
KOG1202	Animal-type fatty acid synthase and related proteins
KOG1203	Predicted dehydrogenase
KOG1204	Predicted dehydrogenase
KOG1205	Predicted dehydrogenase
KOG1206	Peroxisomal multifunctional beta-oxidation protein and related enzymes
KOG1207	Diacetyl reductase/L-xylulose reductase
KOG1208	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
KOG1209	1-Acyl dihydroxyacetone phosphate reductase and related dehydrogenases
KOG1210	Predicted 3-ketosphinganine reductase
KOG1211	Amidases
KOG1212	Amidases
KOG1213	Sister chromatid cohesion complex Cohesin, subunit RAD21/SCC1
KOG1214	Nidogen and related basement membrane protein proteins
KOG1215	Low-density lipoprotein receptors containing Ca2+-binding EGF-like domains
KOG1216	von Willebrand factor and related coagulation proteins
KOG1217	Fibrillins and related proteins containing Ca2+-binding EGF-like domains
KOG1218	Proteins containing Ca2+-binding EGF-like domains
KOG1219	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
KOG1220	Phosphoglucomutase/phosphomannomutase
KOG1221	Acyl-CoA reductase
KOG1222	Kinesin associated protein KAP
KOG1223	Isochorismate synthase
KOG1224	Para-aminobenzoate (PABA) synthase ABZ1
KOG1225	Teneurin-1 and related extracellular matrix proteins, contain EGF-like repeats
KOG1226	Integrin beta subunit (N-terminal portion of extracellular region)
KOG1227	Putative methyltransferase
KOG1228	Uncharacterized conserved protein
KOG1229	3'5'-cyclic nucleotide phosphodiesterases
KOG1230	Protein containing repeated kelch motifs
KOG1231	Proteins containing the FAD binding domain
KOG1232	Proteins containing the FAD binding domain
KOG1233	Alkyl-dihydroxyacetonephosphate synthase
KOG1234	ABC (ATP binding cassette) 1 protein
KOG1235	Predicted unusual protein kinase
KOG1236	Predicted unusual protein kinase
KOG1237	H+/oligopeptide symporter
KOG1238	Glucose dehydrogenase/choline dehydrogenase/mandelonitrile lyase (GMC oxidoreductase family)
KOG1239	Inner membrane protein translocase involved in respiratory chain assembly
KOG1240	Protein kinase containing WD40 repeats
KOG1241	Karyopherin (importin) beta 1
KOG1242	Protein containing adaptin N-terminal region
KOG1243	Protein kinase
KOG1244	Predicted transcription factor Requiem/NEURO-D4
KOG1245	Chromatin remodeling complex WSTF-ISWI, large subunit (contains heterochromatin localization, PHD and BROMO domains)
KOG1246	DNA-binding protein jumonji/RBP2/SMCY, contains JmjC domain
KOG1247	Methionyl-tRNA synthetase
KOG1248	Uncharacterized conserved protein
KOG1249	Predicted GTPases
KOG1250	Threonine/serine dehydratases
KOG1251	Serine racemase
KOG1252	Cystathionine beta-synthase and related enzymes
KOG1253	tRNA methyltransferase
KOG1254	ATP-citrate lyase
KOG1255	Succinyl-CoA synthetase, alpha subunit
KOG1256	Long-chain acyl-CoA synthetases (AMP-forming)
KOG1257	NADP+-dependent malic enzyme
KOG1258	mRNA processing protein
KOG1259	Nischarin, modulator of integrin alpha5 subunit action
KOG1260	Isocitrate lyase
KOG1261	Malate synthase
KOG1262	FAD-binding protein DIMINUTO
KOG1263	Multicopper oxidases
KOG1264	Phospholipase C
KOG1265	Phospholipase C
KOG1266	Protein kinase
KOG1267	Mitochondrial transcription termination factor, mTERF
KOG1268	Glucosamine 6-phosphate synthetases, contain amidotransferase and phosphosugar isomerase domains
KOG1269	SAM-dependent methyltransferases
KOG1270	Methyltransferases
KOG1271	Methyltransferases
KOG1272	WD40-repeat-containing subunit of the 18S rRNA processing complex
KOG1273	WD40 repeat protein
KOG1274	WD40 repeat protein
KOG1275	PAB-dependent poly(A) ribonuclease, subunit PAN2
KOG1276	Protoporphyrinogen oxidase
KOG1277	Endosomal membrane proteins, EMP70
KOG1278	Endosomal membrane proteins, EMP70
KOG1279	Chromatin remodeling factor subunit and related transcription factors
KOG1280	Uncharacterized conserved protein containing ZZ-type Zn-finger
KOG1281	Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporters
KOG1282	Serine carboxypeptidases (lysosomal cathepsin A)
KOG1283	Serine carboxypeptidases
KOG1284	Bifunctional GTP cyclohydrolase II/3,4-dihydroxy-2butanone-4-phosphate synthase
KOG1285	Beta, beta-carotene 15,15'-dioxygenase and related enzymes
KOG1286	Amino acid transporters
KOG1287	Amino acid transporters
KOG1288	Amino acid transporters
KOG1289	Amino acid transporters
KOG1290	Serine/threonine protein kinase
KOG1291	Mn2+ and Fe2+ transporters of the NRAMP family
KOG1292	Xanthine/uracil transporters
KOG1293	Proteins containing armadillo/beta-catenin-like repeat
KOG1294	Apurinic/apyrimidinic endonuclease and related enzymes
KOG1295	Nonsense-mediated decay protein Upf3
KOG1296	Uncharacterized conserved protein
KOG1297	Uncharacterized conserved protein
KOG1298	Squalene monooxygenase
KOG1299	Vacuolar sorting protein VPS45/Stt10 (Sec1 family)
KOG1300	Vesicle trafficking protein Sec1
KOG1301	Vesicle trafficking protein Sly1 (Sec1 family)
KOG1302	Vacuolar sorting protein VPS33/slp1 (Sec1 family)
KOG1303	Amino acid transporters
KOG1304	Amino acid transporters
KOG1305	Amino acid transporter protein
KOG1306	Ca2+/Na+ exchanger NCX1 and related proteins
KOG1307	K+-dependent Ca2+/Na+ exchanger NCKX1 and related proteins
KOG1308	Hsp70-interacting protein Hip/Transient component of progesterone receptor complexes and an Hsp70-binding protein
KOG1309	Suppressor of G2 allele of skp1
KOG1310	WD40 repeat protein
KOG1311	DHHC-type Zn-finger proteins
KOG1312	DHHC-type Zn-finger proteins
KOG1313	DHHC-type Zn-finger proteins
KOG1314	DHHC-type Zn-finger protein
KOG1315	Predicted DHHC-type Zn-finger protein
KOG1316	Argininosuccinate lyase
KOG1317	Fumarase
KOG1318	Helix loop helix transcription factor EB
KOG1319	bHLHZip transcription factor BIGMAX
KOG1320	Serine protease
KOG1321	Protoheme ferro-lyase (ferrochelatase)
KOG1322	GDP-mannose pyrophosphorylase/mannose-1-phosphate guanylyltransferase
KOG1323	Serine/threonine phosphatase
KOG1324	Dihydrofolate reductase
KOG1325	Lysophospholipase
KOG1326	Membrane-associated protein FER-1 and related ferlins, contain multiple C2 domains
KOG1327	Copine
KOG1328	Synaptic vesicle protein BAIAP3, involved in vesicle priming/regulation
KOG1329	Phospholipase D1
KOG1330	Sugar transporter/spinster transmembrane protein
KOG1331	Predicted methyltransferase
KOG1332	Vesicle coat complex COPII, subunit SEC13
KOG1333	Uncharacterized conserved protein
KOG1334	WD40 repeat protein
KOG1335	Dihydrolipoamide dehydrogenase
KOG1336	Monodehydroascorbate/ferredoxin reductase
KOG1337	N-methyltransferase
KOG1338	Uncharacterized conserved protein
KOG1339	Aspartyl protease
KOG1340	Prosaposin
KOG1341	Na+/K+ transporter
KOG1342	Histone deacetylase complex, catalytic component RPD3
KOG1343	Histone deacetylase complex, catalytic component HDA1
KOG1344	Predicted histone deacetylase
KOG1345	Serine/threonine kinase
KOG1346	Programmed cell death 8 (apoptosis-inducing factor)
KOG1347	Uncharacterized membrane protein, predicted efflux pump
KOG1348	Asparaginyl peptidases
KOG1349	Gpi-anchor transamidase
KOG1350	F0F1-type ATP synthase, beta subunit
KOG1351	Vacuolar H+-ATPase V1 sector, subunit B
KOG1352	Vacuolar H+-ATPase V1 sector, subunit A
KOG1353	F0F1-type ATP synthase, alpha subunit
KOG1354	Serine/threonine protein phosphatase 2A, regulatory subunit
KOG1355	Adenylosuccinate synthase
KOG1356	Putative transcription factor 5qNCA, contains JmjC domain
KOG1357	Serine palmitoyltransferase
KOG1358	Serine palmitoyltransferase
KOG1359	Glycine C-acetyltransferase/2-amino-3-ketobutyrate-CoA ligase
KOG1360	5-aminolevulinate synthase
KOG1361	Predicted hydrolase involved in interstrand cross-link repair
KOG1362	Choline transporter-like protein
KOG1363	Predicted regulator of the ubiquitin pathway (contains UAS and UBX domains)
KOG1364	Predicted ubiquitin regulatory protein, contains UAS and UBX domains
KOG1365	RNA-binding protein Fusilli, contains RRM domain
KOG1366	Alpha-macroglobulin
KOG1367	3-phosphoglycerate kinase
KOG1368	Threonine aldolase
KOG1369	Hexokinase
KOG1370	S-adenosylhomocysteine hydrolase
KOG1371	UDP-glucose 4-epimerase/UDP-sulfoquinovose synthase
KOG1372	GDP-mannose 4,6 dehydratase
KOG1373	Transport protein Sec61, alpha subunit
KOG1374	Gamma tubulin
KOG1375	Beta tubulin
KOG1376	Alpha tubulin
KOG1377	Uridine 5'- monophosphate synthase/orotate phosphoribosyltransferase
KOG1378	Purple acid phosphatase
KOG1379	Serine/threonine protein phosphatase
KOG1380	Heme A farnesyltransferase
KOG1381	Para-hydroxybenzoate-polyprenyl transferase
KOG1382	Multiple inositol polyphosphate phosphatase
KOG1383	Glutamate decarboxylase/sphingosine phosphate lyase
KOG1384	tRNA delta(2)-isopentenylpyrophosphate transferase
KOG1385	Nucleoside phosphatase
KOG1386	Nucleoside phosphatase
KOG1387	Glycosyltransferase
KOG1388	Attractin and platelet-activating factor acetylhydrolase
KOG1389	3-oxoacyl CoA thiolase
KOG1390	Acetyl-CoA acetyltransferase
KOG1391	Acetyl-CoA acetyltransferase
KOG1392	Acetyl-CoA acetyltransferase
KOG1393	Hydroxymethylglutaryl-CoA synthase
KOG1394	3-oxoacyl-(acyl-carrier-protein) synthase (I and II)
KOG1395	Tryptophan synthase beta chain
KOG1396	Uncharacterized conserved protein
KOG1397	Ca2+/H+ antiporter VCX1 and related proteins
KOG1398	Uncharacterized conserved protein
KOG1399	Flavin-containing monooxygenase
KOG1400	Predicted ATP-dependent protease PIL, contains LON domain
KOG1401	Acetylornithine aminotransferase
KOG1402	Ornithine aminotransferase
KOG1403	Predicted alanine-glyoxylate aminotransferase
KOG1404	Alanine-glyoxylate aminotransferase AGT2
